0UUUUUUU UUUUUUUUU U
0UUUUUUU UUUUUUUUU U
0UUUUUUU UUUUUUUUU U
0UUUUUUU UUUUUUUUU U
01001101 010001010 0
01000111 000010011 1
00111010 001011000 1
00101110 000101001 1
01010101 000001110 0
01010010 001001001 0
01011000 001011011 1
00001011 000000010 1
00111000 001000111 0
01010111 001010111 1
01011000 000101001 1
01001110 000101011 0
01000111 001001101 0
00101011 000001110 0
00100010 000100010 1
01000101 000000111 0
01000100 001010001 1
01011000 010101111 0
00100010 000111101 0
01001100 001010001 1
00110100 000111010 0
01001001 000101001 1
00101001 000010010 0
01000011 000110100 1
01010000 001101001 1
01001101 000101011 0
01011000 000001000 1
01000111 000000100 0
00111011 001101101 0
00111101 000100100 1
00111011 001110010 0
01010101 000011101 1
00110110 001010010 0
01010111 001011110 1
00100111 000010010 0
00100100 000110101 0
01010111 000101000 1
00101010 000010001 1
00010010 000000111 1
01001101 001110001 0
01001010 001100111 1
01011000 010101111 1
01010111 010010110 0
00111001 000000000 1
01011000 001100011 1
00100100 000100011 0
00100111 000110101 0
01010110 010101011 0
00101100 000011110 1
00101010 000000101 1
00111111 001001100 1
00100101 000101101 0
00101101 000000011 1
01000011 001100110 1
01001001 000001111 1
01001000 010000010 1
01011001 001001101 1
00100100 000100101 0
00110100 000000110 0
01011000 010100110 0
01001010 000000011 0
01000101 001101101 0
00111001 001101111 1
00010111 000011101 0
01010011 001011111 1
01000010 000010011 1
00101111 000101101 0
01000010 001000000 0
00101000 001000010 1
01010110 010000100 1
01010100 001011101 0
01000010 001111100 0
01010101 000011000 0
01000011 000011000 1
01011000 001001011 1
01000101 010001000 0
01001000 000101111 0
01001111 001010111 1
00111010 001101001 0
01010100 000000000 1
00011011 000000101 1
01010000 001001101 1
01000100 001111111 1
01001000 001111001 0
01010011 010000111 1
01001111 001110001 1
01010000 000111110 1
00110101 001100110 0
00100011 000001001 1
01000000 000110101 0
00101011 001000011 0
01001111 000011111 0
00111011 000000101 0
01010001 000110110 0
00110110 001001011 0
00110000 001011001 1
01010011 010010100 1
01000101 001110000 1
01000110 000001000 0
01010000 001110101 1
01010110 001111100 0
00000001 000000000 0
01011001 000011011 0
00011011 000100110 1
00101010 000100110 0
01000010 001110011 0
00101110 001000011 1
01001010 001010001 1
01011010 001000010 1
01010010 001100111 0
01000111 001110101 1
00100001 000111111 0
01010101 000110010 1
01000101 001110111 1
00100101 000111001 1
00101011 000111100 1
00101010 000000101 0
00101010 000010101 1
01000011 000001110 0
00111010 000010101 0
01000010 000110110 1
00111000 001000111 1
01000010 000001010 1
01000000 000111110 1
00011101 000000111 1
01000001 001011100 0
01000111 001010011 1
00000100 000000000 0
00101111 001010101 1
00100010 000010111 1
00110110 001000000 0
00000001 000000001 0
00111100 000011001 0
00111101 001010011 1
00011010 000010100 0
00011100 000011000 1
01011000 000001110 0
01011001 001110100 0
00101001 000000001 0
00101001 000010111 1
00111010 000001100 0
00101100 000110011 1
01001111 001110100 0
00011110 000110110 1
01000010 001011011 0
01010110 000011011 0
00100100 000011001 1
01010111 000110100 1
00100101 000010101 1
00000111 000001100 1
00101010 000110111 1
01001010 010010010 1
01000110 000101001 0
00100110 000001101 0
01001101 001001011 0
01000100 001101101 0
00110111 001101010 0
00111110 000001010 0
01010101 001001010 0
01010101 000011000 0
00111011 000110111 1
01000100 001010011 0
00101100 000111011 1
00111101 001101111 1
00010110 000010011 1
01000110 000010111 1
01010101 001100001 1
00111000 001001000 1
00111110 001111001 0
00111001 000111110 0
00101110 001000111 0
00110011 000101010 0
00110101 000110100 1
01001010 000010100 0
00010011 000000110 0
00111000 000001110 0
01010101 001010101 0
00010101 000001001 0
01001000 001101110 0
00110111 001100001 1
01001101 010000000 1
00110100 000010100 1
00110111 000101111 1
00101010 000001100 0
00110000 000001101 0
00111100 001010110 0
01010010 010100001 1
01000111 001100001 0
00101000 000111100 0
01010101 001001001 1
01001010 000000100 0
00100011 000101010 0
01010101 001110000 0
01010110 000010101 0
01000111 001000101 1
01010001 010001101 1
00110101 001000000 0
01001010 001110000 0
01010100 001011001 0
00111010 000000010 1
01001000 010001111 1
01001010 010000100 1
01001010 000100101 1
01010011 010100110 0
